Consulta,Porto,Status,Navio,Carga,Quantidade Original,Unidade Origem,Quantidade (m³),Chegada,Atracação,Desatracação,Origem,Terminal
2026-03-28 16:46,Porto de Santos,Esperado,KUBERA,Óleo Diesel,21736.0,t,26031.14,26/03/2026 07:05:00,,,,ALA.-I.B.
2026-03-28 16:46,Porto de Santos,Esperado,ALLEGRA,Óleo Diesel,33836.0,t,40522.16,29/03/2026,,,,ALAMOA
2026-03-28 16:46,Porto de Santos,Atracado,URIEL,Óleo Diesel,37263.0,t,44626.35,,,,,I. BARNABE OESTE
2026-03-28 16:46,Porto de Paranaguá,Atracado,FRANK LIGHT,Óleo Diesel,42079.0,t,50394.01,26/03/2026 12:48,26/03/2026 23:30,,,144
2026-03-28 16:46,Porto de Paranaguá,Ao Largo,ROSSA,Óleo Diesel,39889.0,t,47771.26,27/03/2026 02:12,,,,143
2026-03-28 16:46,Porto de Paranaguá,Esperado,ALLEGRA,Óleo Diesel,38000.0,t,45508.98,30/06/2026 06:00,,,,143
2026-03-28 16:46,Porto de Paranaguá,Esperado,ALBARO,Óleo Diesel,50000.0,t,59880.24,06/04/2026 15:00,,,,143
2026-03-28 16:46,Porto de Paranaguá,Esperado,PACIFIC ZIRCON,Óleo Diesel,20000.0,t,23952.1,04/04/2026 01:00,,,,141
2026-03-28 16:46,Porto de Paranaguá,Esperado,SINO SOURCE,Óleo Diesel,16815.0,t,20137.72,03/04/2026 08:00,,,,141
2026-03-28 16:46,Porto de Paranaguá,Esperado,VELOS POLARIS,Óleo Diesel,40941.0,t,49031.14,02/04/2026 16:00,,,,143
2026-03-28 16:46,Porto de Paranaguá,Esperado,TWINKLE STAR,Óleo Diesel,36800.0,t,44071.86,01/04/2026 20:00,,,,141
2026-03-28 16:46,Porto de Paranaguá,Esperado,BOND,Óleo Diesel,30000.0,t,35928.14,30/03/2026 18:00,,,,141
2026-03-28 16:46,Porto de Paranaguá,Esperado,HORIZON THEANO,Óleo Diesel,38000.0,t,45508.98,29/03/2026 05:00,,,,141
2026-03-28 16:46,Porto de Suape,Fundeado,VELOS AURORA (EX LATGALE),Óleo Diesel,35585.0,c,35585.0,26/03/2026 03:35,03/04/2026 18:00,05/04/2026 22:00,UST-LUGA-RUS,PGL-1A
2026-03-28 17:37,Porto de Santos,Esperado,KUBERA,Óleo Diesel,21736.0,t,26031.14,26/03/2026 07:05:00,,,,ALA.-I.B.
2026-03-28 17:37,Porto de Santos,Esperado,ALLEGRA,Óleo Diesel,33836.0,t,40522.16,29/03/2026,,,,ALAMOA
2026-03-28 17:37,Porto de Santos,Atracado,URIEL,Óleo Diesel,37263.0,t,44626.35,,,,,I. BARNABE OESTE
2026-03-28 17:37,Porto de Paranaguá,Atracado,FRANK LIGHT,Óleo Diesel,42079.0,t,50394.01,26/03/2026 12:48,26/03/2026 23:30,,,144
2026-03-28 17:37,Porto de Paranaguá,Ao Largo,ROSSA,Óleo Diesel,39889.0,t,47771.26,27/03/2026 02:12,,,,143
2026-03-28 17:37,Porto de Paranaguá,Esperado,ALLEGRA,Óleo Diesel,38000.0,t,45508.98,30/06/2026 06:00,,,,143
2026-03-28 17:37,Porto de Paranaguá,Esperado,ALBARO,Óleo Diesel,50000.0,t,59880.24,06/04/2026 15:00,,,,143
2026-03-28 17:37,Porto de Paranaguá,Esperado,PACIFIC ZIRCON,Óleo Diesel,20000.0,t,23952.1,04/04/2026 01:00,,,,141
2026-03-28 17:37,Porto de Paranaguá,Esperado,SINO SOURCE,Óleo Diesel,16815.0,t,20137.72,03/04/2026 08:00,,,,141
2026-03-28 17:37,Porto de Paranaguá,Esperado,VELOS POLARIS,Óleo Diesel,40941.0,t,49031.14,02/04/2026 16:00,,,,143
2026-03-28 17:37,Porto de Paranaguá,Esperado,TWINKLE STAR,Óleo Diesel,36800.0,t,44071.86,01/04/2026 20:00,,,,141
2026-03-28 17:37,Porto de Paranaguá,Esperado,BOND,Óleo Diesel,30000.0,t,35928.14,30/03/2026 18:00,,,,141
2026-03-28 17:37,Porto de Paranaguá,Esperado,HORIZON THEANO,Óleo Diesel,38000.0,t,45508.98,29/03/2026 05:00,,,,141
